nr,node,latitude,longitude
1,6579983,63.41415880,11.74273290
2,1786489,63.41455010,11.74120130
3,1786488,63.41731840,11.74028960
4,1786487,63.41747230,11.74018750
5,1466685,63.41785090,11.73984160
6,1466682,63.41851880,11.73872680
7,1786486,63.41868360,11.73844750
8,1786485,63.41914100,11.73779480
9,1786484,63.41922940,11.73767390
10,1786483,63.41993330,11.73672160
11,5549739,63.42006220,11.73722400
12,5861704,63.41929580,11.73959610
13,5861705,63.41903430,11.73997250
14,5861706,63.41748410,11.74105090
15,5350709,63.41760390,11.74390010
16,1815449,63.41612790,11.74751290
17,1815448,63.41602480,11.74729390
18,2021013,63.41574850,11.74768100
19,2021012,63.41542160,11.74880670
20,2021011,63.41351810,11.75061460
21,2021010,63.41211920,11.75155240
22,2021009,63.41177450,11.75231890
23,2021008,63.41033270,11.75350510
24,2021007,63.40984130,11.75430170
25,2021006,63.40920570,11.75484780
26,2021001,63.40906780,11.75494420
27,2021000,63.40847170,11.75292520
28,2020999,63.40833090,11.75203490
29,2020998,63.40854780,11.75059200
30,2020997,63.40898620,11.75022970
31,2020996,63.40981160,11.75041030
32,1786494,63.40912150,11.74849030
33,1786493,63.41041960,11.74798380
34,1786492,63.41049470,11.74795600
35,5350695,63.41040280,11.74752790
36,5350697,63.41190600,11.74671380
37,5350701,63.41219700,11.74674900
38,5350712,63.41367490,11.74304930
39,5350636,63.41384210,11.74231930
40,5350633,63.41377610,11.74103880
41,5350634,63.41370780,11.73968250
42,5350664,63.41358910,11.73849070
43,5350665,63.41285670,11.73821280
44,5350639,63.41305860,11.73808290
45,5929089,63.41335710,11.73773120
46,5350656,63.41433830,11.73498960
47,5350658,63.41467320,11.73429470
48,5350652,63.41623380,11.73194760
49,5929090,63.41636120,11.73165370
50,5929091,63.41654850,11.73122400
51,5929083,63.41787320,11.72827500
52,3297344,63.41794110,11.72814890
53,3297345,63.41892690,11.72795920
54,3297346,63.42011580,11.72665560
55,3297347,63.42017380,11.72657500
56,3297348,63.42089160,11.72494520
57,3297349,63.42290340,11.72058700
58,3297350,63.42301100,11.72018620
59,3297351,63.42476910,11.71592800
60,3297352,63.42554850,11.71240120
61,3297353,63.42673690,11.70930060
62,5929084,63.42886090,11.70102140
63,5929085,63.43331500,11.68979340
64,5929086,63.43524680,11.67739730
65,2016667,63.43661020,11.67465460
66,2016666,63.43602610,11.67797300
67,2016665,63.43646510,11.67896280
68,2016664,63.43650800,11.67906470
69,2016663,63.43807970,11.68184770
70,2016662,63.43884910,11.68207160
71,2016661,63.43988050,11.68680280
72,6579482,63.44059010,11.68759100
73,5929102,63.44070070,11.68728200
74,2470055,63.44074550,11.68715060
75,2470054,63.44080400,11.68697850
76,2470053,63.44152660,11.68490920
77,2470052,63.44230180,11.68321300
78,2470051,63.44282050,11.68234310
79,2470050,63.44324060,11.68165850
80,2470049,63.44394040,11.67510460
81,2470048,63.44386240,11.67311570
82,2470047,63.44382110,11.67157910
83,2470046,63.44373520,11.66814670
84,2470045,63.44350680,11.66366730
85,2470044,63.44340530,11.66267940
86,2470043,63.44334720,11.66212910
87,2470042,63.44313540,11.66012480
88,2470041,63.44310500,11.65983830
89,2470040,63.44296610,11.65703410
90,2470039,63.44328260,11.64791280
91,2470038,63.44324970,11.64480980
92,2470037,63.44324900,11.64473020
93,2470036,63.44323710,11.64088380
94,2470035,63.44298430,11.63245440
95,2470034,63.44291300,11.63082030
96,2470033,63.44347710,11.62732630
97,1786476,63.44397360,11.62614590
98,1786475,63.44480250,11.62414210
99,1786474,63.44560170,11.62020700
100,1786473,63.44558180,11.61694640
101,6580282,63.44477860,11.61432820
102,2165649,63.44458550,11.61354400
103,6579860,63.44468960,11.60813560
104,6579966,63.44589360,11.60414420
105,5239543,63.44661690,11.60146870
106,6579965,63.45462580,11.57838720
107,6579964,63.45468560,11.57790800
